BPP,PSNR,Label
4.890838216145833,22.621410700546093,new
0.176552,37.754576,baseline
0.107806,36.680327,baseline
0.074686,35.60274,baseline
0.052697,34.276196,baseline
0.187701631,36.52492847,H.264
0.122491399,35.78201761,H.264
0.084205003,35.05371763,H.264
0.046558501,33.56996097,H.264
0.165663191,37.29259129,H.265
0.109789007,36.5842637,H.265
0.074090183,35.88754734,H.265
0.039677747,34.46536633,H.265
